id_servico_estabelecimento;nm_servico_estabelecimento;ds_servico_estabelecimento;duracao;id_servico_categoria_estabelecimento;id_estabelecimento;id_servico;ativo;preco;preco_fixo;id_preco_tipo;exibe_preco;custo_descartaveis;dt_cadastro;dt_ultima_atualizacao;codigo_interno;id_ncm_nbs;aliquota_icms;id_situacao_tributaria;id_servico_estabelecimento_modelo;aliquota_pis;aliquota_cofins;id_promocao;usado_lista_espera;usado_fila_espera;cliente_ganha_pontos;cliente_pode_resgatar_pontos;pontos_necessarios_para_resgate;codigo_ncm_ibpt;servico_indisponivel_para_clientes
1816849;Luzes;Técnica similar à do reflexo. A diferença é que as mechas que recebem a coloração são bem mais fininhas.;90;174.142;23.614;11;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1268;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816850;Mechas;"Clareamento ou coloração de mechas largas. Normalmente os tons contrastam com a cor natural dos fios.
";90;174.142;23.614;12;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1311;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816851;Reflexo;É usado para dar mais de uma tonalidade ao cabelo. Pequenas mechas recebem a tintura e são envolvidas em papel laminado. Normalmente é usada uma touca plástica para separar as mechas. O reflexo deve ser feito novamente sempre que o fio crescer e aparecer a raiz com outra cor.;90;174.142;23.614;16;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1378;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816852;Aplicação de Coloração;Aplicação de Coloração. Produto levado pelo cliente.;60;174.142;23.614;17;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1008;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816853;Cauterização Capilar;Cauterização Capilar;45;174.142;23.614;18;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1042;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816854;Piastra - Chapinha - Prancha;Somente Pranchar os Cabelos.;20;174.142;23.614;19;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1356;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816855;Coloração / Tonalização;Tintura dos Cabelos com produtos do Salão de Beleza.;60;174.142;23.614;2;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1049;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816856;Decapagem / Descoloração;Descolorir todo o cabelo. Essa técnica remove toda a cor do cabelo, seja a natural, seja a coloração. ;120;174.142;23.614;20;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1070;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816857;Escova e Prancha;"Lava-se os Cabelos, Escova-se e passa a Prancha.
";60;174.142;23.614;23;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1208;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816858;Reconstrução Capilar;Reconstrução Capilar;60;174.142;23.614;27;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1376;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
