1816849;Luzes;Técnica similar à do reflexo. A diferença é que as mechas que recebem a coloração são bem mais fininhas.;90;174142;23614;11;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.2530000;1268;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816850;Mechas;"Clareamento ou coloração de mechas largas. Normalmente os tons contrastam com a cor natural dos fios. ";90;174142;23614;12;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.2770000;1311;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816851;Reflexo;É usado para dar mais de uma tonalidade ao cabelo. Pequenas mechas recebem a tintura e são envolvidas em papel laminado. Normalmente é usada uma touca plástica para separar as mechas. O reflexo deve ser feito novamente sempre que o fio crescer e aparecer a raiz com outra cor.;90;174142;23614;16;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.2970000;1378;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816852;Aplicação de Coloração;Aplicação de Coloração. Produto levado pelo cliente.;60;174142;23614;17;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.3170000;1008;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816853;Cauterização Capilar;Cauterização Capilar;45;174142;23614;18;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.3370000;1042;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816854;Piastra - Chapinha - Prancha;Somente Pranchar os Cabelos.;20;174142;23614;19;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.3500000;1356;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816855;Coloração / Tonalização;Tintura dos Cabelos com produtos do Salão de Beleza.;60;174142;23614;2;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.3670000;1049;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816856;Decapagem / Descoloração;"Descolorir todo o cabelo. Essa técnica remove toda a cor do cabelo, seja a natural, seja a coloração. ";120;174142;23614;20;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.3770000;1070;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816857;Escova e Prancha;"Lava-se os Cabelos, Escova-se e passa a Prancha. ";60;174142;23614;23;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.3900000;1208;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816858;Reconstrução Capilar;Reconstrução Capilar;60;174142;23614;27;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.4070000;1376;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816859;Relaxamento Capilar;Relaxamento dos fios do cabelo. Promove redução de volume e maciez.;120;174142;23614;28;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.4270000;1380;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816860;Secagem;"Somente Secar. O cliente já chega ao estabelecimento com os cabelos lavados. ";20;174142;23614;29;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.4470000;1384;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816861;Corte Masculino;Higienização e Secagem.;30;174142;23614;4;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.4670000;1063;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816862;Escova Simples;"Lava-se os Cabelos e realiza a Escova. ";30;174142;23614;5;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.4930000;1225;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816863;Balaiagem;Processo francês de tintura rápido e moderno, que dá uma clareada na cor do cabelo. Por exemplo, se o tom da mecha é escuro, alguns fios são deixados mais claros. As mechas são puxadas com um pente de dentes largos ou um pincel e recebem a tintura ao ar livre, sem o uso de papel laminado ou toucas, e costuma-se passar mais produto nas pontas, que ficam mais claras que as raízes.;90;174142;23614;6;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.5100000;1015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816864;Hidratação;Hidratação;30;174142;23614;7;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.5300000;1245;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816865;Corte Infantil;Corte Infantil;30;174142;23614;9;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.5370000;1062;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816866;Corte a Máquina;"Corte a máquina. ";30;174142;23614;189;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.5470000;1059;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816867;Hidratação com Ampolas;Diversas marcas de produtos para você escolher.;60;174142;23614;197;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.5570000;1246;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816868;Mechas Californianas;Mechas californianas começam de 3 a 4 cm da raíz e se espalham pelo comprimento do cabelo.;90;174142;23614;198;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.5700000;1312;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816869;Mechas Invertidas;"Técnica pode ser utilizada para escurecer cabelos claros ou para disfarçar cabelos grisalhos, deixando-os com aspecto natural. ";90;174142;23614;199;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.5800000;1313;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816870;Strong;Mechas bem grossas a partir da raiz dos cabelos. Essa técnica destaca as mechas mais que qualquer outra.;90;174142;23614;201;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.5900000;1395;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816871;Higienização;Lavar os cabelos.;20;174142;23614;355;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.6000000;1257;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816872;Higienização + Secagem;Lavar e secar os cabelos.;20;174142;23614;356;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.6170000;1258;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816873;Aplicação de Henna nos Fios;Aplicação de Henna nos Fios.;60;174142;23614;365;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.6330000;1009;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816874;Corte Feminino;Higienização e Secagem.;45;174142;23614;34;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.6500000;1060;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816875;Coloração Inoa;A Coloração Inoa é sem amônia e sem odor. Oferece cobertura de até 100% dos fios brancos com máximo brilho e maciez, sem agredir o couro cabeludo.;60;174142;23614;397;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.6700000;1050;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816876;Hidratação Penetraitt;Penetraitt é um tratamento fortificante e restaurador, recomendado para os cabelos extremamente danificados pelo excesso de tratamentos químicos e calor das ferramentas térmicas. Deixa os cabelos com brilho, recuperado dos danos e fortalecido.;60;174142;23614;398;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.6870000;1253;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816877;Escova Portier;A Escova Portier é um realinhamento térmico que trata através da reconstrução dos fios.;60;174142;23614;399;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.7200000;1221;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
